V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
1	SMED30000006	2766	3115	11.83734	13.00707	22.54252	15.7956	SMED30000006	2763	3093	15.99411	14.64825	15.49671	15.3797	-0.0384953772446556	0.913881534904427
2	SMED30000009	1273	1888	38.24047	37.59348	34.87494	36.903	SMED30000009	1340	1866	14.9671	17.01319	18.37649	16.7856	-1.13651399681564	0.000149621166277094
3	SMED30000013	1830	2114	4.05993	3.64805	3.3389	3.68229	SMED30000013	1828	2148	3.43367	4.23833	4.27944	3.98381	0.113545591437711	0.435496605967013
4	SMED30000013	2330	2520	3.54848	3.15813	3.98425	3.56362	SMED30000013	2320	2509	3.83567	4.37828	5.13578	4.44991	0.320432651726768	0.130785753399653
5	SMED30000019	848	1031	4.60361	4.74436	5.63542	4.99446	SMED30000019	841	1031	2.99616	3.32803	7.60001	4.6414	-0.105768666941068	0.835956082896731
6	SMED30000022	65	245	3.39978	3.51448	3.80341	3.57256	SMED30000022	32	280	6.1096	7.76772	6.90378	6.92703	0.955278680832246	0.015293106814641
7	SMED30000023	876	2444	20.99742	11.03836	19.95229	17.3294	SMED30000023	878	2036	18.99624	21.23451	21.25932	20.4967	0.242169947738348	0.423266004280543
8	SMED30000025	70	468	10.75458	11.12499	16.50783	12.7958	SMED30000025	23	472	14.83537	10.11421	14.04574	12.9984	0.0226637016259643	0.936024866518012
9	SMED30000039	177	438	3.44301	6.21903	5.45225	5.0381	SMED30000039	153	369	3.1571	3.52847	2.74077	3.14211	-0.681146070203793	0.14103743843041
10	SMED30000039	584	832	11.12112	7.48569	10.79988	9.80223	SMED30000039	599	831	8.47001	6.13098	8.65747	7.75282	-0.338388828868404	0.22987596596355
11	SMED30000040	144	775	8.64582	7.80117	7.75968	8.06889	SMED30000040	187	655	3.4497	3.89479	5.39317	4.24589	-0.926303227006804	0.0108781620958261
12	SMED30000041	5604	6004	15.30159	14.11922	13.90703	14.4426	SMED30000041	5461	5934	6.30807	5.53525	8.75726	6.86686	-1.07260802819227	0.00739930724440138
