SMED30000130	7.01722	6.54378	6.45166	6.28776	7.75449
SMED30000261	22.352	17.3374	17.4717	24.0848	20.6537
SMED30001482	7.30293	6.37727	6.81843	7.59577	6.97641
SMED30001612	19.7521	11.2427	12.5299	18.726	15.4048
SMED30001647	8.78872	6.78428	5.85706	7.97348	6.78844
SMED30001895	2.24118	2.05341	2.01065	2.20559	2.28009
SMED30002141	39.578	24.1589	22.1833	35.7391	23.0099
SMED30002274	24.1251	17.94	18.9578	20.1283	17.7889
SMED30002355	6.90862	5.80037	6.80431	6.58514	6.48306
SMED30002455	8.33237	5.88456	6.47671	6.79237	6.19044
SMED30002458	5.71063	4.9537	4.90988	5.04319	5.4782
SMED30002515	4.69765	4.08552	3.55401	4.86841	4.71667
SMED30003251	8.29997	6.88252	6.7608	7.98027	6.67789
SMED30003469	2.23661	1.70974	1.65469	1.86686	2.013
SMED30003859	8.15761	5.59273	4.05974	6.49287	5.13699
SMED30004020	7.65315	5.20855	6.66101	6.05047	5.57041
SMED30004234	14.9221	10.0296	9.68247	12.0661	9.1806
SMED30004551	53.8152	21.0343	23.5645	31.5423	28.9294
SMED30004951	9.4147	8.64109	7.55394	8.31165	7.21576
SMED30005123	59.0221	28.3789	42.2837	44.8638	52.2046
SMED30005321	5.89784	4.85967	5.02972	6.04026	5.90676
SMED30005527	18.6115	12.9384	14.3823	16.5527	18.4562
SMED30005562	24.2408	11.2988	15.2583	17.0474	16.0798
SMED30005661	7.58691	5.95102	7.02027	6.81936	6.311
SMED30005667	3.55667	3.16347	3.49356	3.5419	3.36171
SMED30006106	4.50459	3.95679	3.87055	4.23251	3.78841
SMED30006518	15.9585	14.7149	15.437	15.1567	15.3047
SMED30006606	4.9417	2.08181	4.12533	4.89237	2.80519
SMED30006811	12.9243	8.90748	12.2513	19.7268	2.82634
SMED30007268	11.1048	8.8541	10.6998	11.6336	10.2982
SMED30007305	3.26395	2.53281	2.70257	3.30957	2.99723
SMED30007379	17.1631	9.15123	14.4706	12.0555	11.6483
SMED30007592	28.9014	19.8375	23.4488	23.873	24.1833
SMED30007660	19.4943	10.639	12.4908	14.3184	10.2479
SMED30007676	16.4895	8.73169	9.70476	10.4689	13.2631
SMED30008052	8.27155	7.47648	7.88605	9.18937	6.56382
SMED30008206	9.1537	7.5425	8.36492	9.98753	8.41255
SMED30008716	6.71208	6.73117	5.93643	7.09035	5.96533
SMED30008797	8.35552	8.03582	7.99888	8.81661	7.70256
SMED30008838	4.22563	3.28345	3.21047	4.12424	3.62198
SMED30008917	7.52238	5.94258	5.81916	5.90845	5.95797
SMED30010054	18.8968	14.8816	16.0887	19.2749	16.516
SMED30010280	4.87621	4.39137	4.70283	4.57798	5.27755
SMED30010317	20.507	9.68685	5.79575	12.9527	13.6764
SMED30011047	34.4161	21.6249	29.5592	28.4343	29.5737
SMED30011303	4.48987	3.40665	3.55398	4.13255	3.90381
SMED30012260	24.1926	11.8835	15.1942	15.6496	14.5808
SMED30012307	3.75786	2.94053	3.54719	3.73746	3.17457
SMED30012721	14.1788	12.9467	12.4211	13.6912	13.3153
SMED30012814	9.94408	7.80425	8.16862	8.14027	8.06617
